position,density,energy,velocity,pressure
-0.598125,0.5416666666666646,2.5,0,0.5416666666666645
-0.59625,0.6234064651471283,2.5,0,0.623406465147128
-0.594375,0.7005171413057901,2.5,0,0.70051714130579
-0.5925,0.7703979942388643,2.5,0,0.7703979942388642
-0.590625,0.8311086955555473,2.5,0,0.8311086955555472
-0.58875,0.8815054277572936,2.5,0,0.8815054277572933
-0.5868749999999999,0.9212911021562051,2.5,0,0.921291102156205
-0.585,0.9509648407520349,2.5,0,0.9509648407520346
-0.583125,0.9716785585048281,2.5,0,0.971678558504828
-0.5812499999999999,0.9850266858444185,2.5,0,0.9850266858444184
-0.579375,0.9928028996104485,2.5,0,0.9928028996104483
-0.5775,0.9967612234726949,2.5,0,0.9967612234726948
-0.5756249999999999,0.9984174086776368,2.5,0,0.9984174086776366
-0.57375,0.9989189325635802,2.5,0,0.99891893256358
-0.571875,0.9989993529482032,2.5,0,0.998999352948203
-0.57,0.9990187213802412,2.5,0,0.9990187213802408
-0.568125,0.9990778788949465,2.5,0,0.9990778788949463
-0.5662499999999999,0.9991749028159942,2.5,0,0.999174902815994
-0.564375,0.9992971574661578,2.5,0,0.9992971574661575
-0.5623517751264477,0.9994416066479902,2.4994126739488767,0.0011214137147883077,0.9992079660163289
-0.560581475730688,0.9995680684998302,2.4995611790782357,0.00010874988057591298,0.999393822693359
-0.5587503761886479,0.999688704933867,2.499684278968719,-0.00025111770044569523,0.9995639486049148
-0.556890782133102,0.9997937376214668,2.4997887512235484,-0.00036493754390395087,0.9997110716894813
-0.5550164103907017,0.999876933612061,2.4998715962767433,-0.0003267880804271298,0.999827668688436
-0.553131102705024,0.9999354850461328,2.4999302109411246,-0.00015023665615299526,0.9999098373023716
-0.5512359944259212,0.9999697969736221,2.4999647157226903,0.00013428886856734512,0.9999580002800488
-0.5493428893090965,0.9999833094422175,2.499978406823553,0.00031580222680925504,0.9999768951947976
-0.5474618457075027,0.9999822799781442,2.4999777700948997,0.00034538534531782227,0.9999753564408885
-0.5455876653127243,0.999974321732827,2.4999705362829587,0.0003053084668693276,0.9999640848211448
-0.5437173287349024,0.9999668968331203,2.4999641607760332,0.00022780346557050877,0.9999535308962272
-0.5418491413491026,0.9999660524459012,2.4999646191212843,0.00012374123189201012,0.9999521521972063
-0.5399814228466131,0.9999752125607673,2.4999752198032827,21197993401924957e-21,0.9999647395746418
-0.5381134236655677,0.9999943119423039,2.4999957476037804,-7633760276667694e-20,0.9999912182593643
-0.5362436637016866,1.0000195777524037,2.500022246771059,-0.0001432107884499036,1.0000263399745601
-0.5343700335479298,1.000044063272322,2.5000475535092788,-0.00013849991416796254,1.0000604149369567
-0.5324891808739246,1.0000587921321358,2.5000624019191138,3685218562534273e-21,1.0000808802408383
-0.5306015204802154,1.0000564587039897,2.5000591160971943,0.00023209963935897068,1.0000774424167302
-0.5287200099444721,1.0000410682672032,2.5000418327189395,0.00030760537565405644,1.0000557009552857
-0.5268451849308197,1.000022622984967,2.500020968577269,0.00026342772633797257,1.0000296925244148
-0.5249736101114788,1.0000102574139136,2.5000059135032524,0.00016730962426426429,1.0000121857250013
-0.5231031290327794,1.000009139411907,2.500001990015848,6089025044176855e-20,1.0000103903917013
-0.5212323912130341,1.0000195305506687,2.5000095621559812,-3257888674111227e-20,1.0000246717834993
-0.5193604980138822,1.00003765061058,2.5000249208509637,-9237684339094372e-20,1.0000497638670038
-0.5174868741760301,1.0000579436204506,2.5000425719008614,-0.0001049740561932088,1.0000779304421468
-0.5156113208869718,1.0000755376209083,2.500057712896201,-6198067611850957e-20,1.000102394735011
-0.5137338164567334,1.0000877627485432,2.500067771703101,4925707803626623e-20,1.0001194610765298
-0.5118550365188127,1.0000946272222604,2.5000728928545173,0.0002125743136338111,1.0001291814315534
-0.5099775774735439,1.000098436881203,2.5000755406434996,0.00028877514100583696,1.000134818572127
-0.5081023281200588,1.0001027831509224,2.500079430719778,0.0002791119378811328,1.0001414175212664
-0.5062282821041844,1.0001112264919134,2.500088157707249,0.00023598485123848357,1.0001539560437902
-0.5043548420325322,1.0001260391641273,2.5001039201588076,0.00018174681589406698,1.0001755824609841
-0.5024814912408841,1.0001473408943398,2.5001266611575654,0.00013413860055845166,1.0002064096960415
-0.5006078526709267,1.000172958561713,2.5001539627014,0.00010484064367955304,1.000243325188151
-0.49873370324694444,1.0001992572713339,2.5001819431361785,0.0001055534699933192,1.000281161630753
-0.4968589737456717,1.0002226527128637,2.500206849556411,0.0001394092408126963,1.0003148243982032
-0.4949837743942603,1.0002407731018708,2.50022626436993,0.00020344721099531976,1.0003409285691347
-0.4931083735260125,1.000252883675132,2.500239526969216,0.00028163050451778676,1.000358401560585
-0.4912331514254237,1.0002597165479103,2.500247522986782,0.00034343884726836116,1.0003682495631299
-0.48935833120997213,1.000262937251308,2.500252090846055,0.0003668391069073004,1.0003728114368349
-0.48748381678715913,1.0002644719110347,2.5002552898308443,0.0003676392845960191,1.0003748144480067
-0.4856094841759265,1.0002658979018109,2.5002587461807995,0.00035766434605583134,1.0003765153302242
-0.4837352154502539,1.0002680507358914,2.5002632417960085,0.00034560284704103413,1.0003791420918111
-0.4818609324814626,1.0002709285790201,2.500268632122735,0.00033636040865592937,1.0003827516746011
-0.4799865885127387,1.000273897139446,2.500274094050123,0.0003323624992566784,1.0003865076348337
-0.47811217450145393,1.0002760863497155,2.5002785816325117,0.000332700831610632,1.0003892276232744
-0.47623770208560456,1.0002767606928493,2.500281241118578,0.0003356352770256471,1.0003898991606461
